,R1-f,R1-p,R1-r,R2-f,R2-p,R2-r,Rl-f,Rl-p,Rl-r,Loss
infersent top-3,19.394235115197972,19.826019593297342,25.48531631072475,4.189682617952174,3.968403310978793,5.576159563127073,19.736637345443572,20.624855682570086,23.87067916328491,0.03646175217944414
infersent top-4,20.740609202311433,17.940838308913996,32.81193049406839,5.403370350644766,4.288530808828236,9.027192110014013,21.18737137409565,18.849786258780437,30.030701575213484,0.03646175217944414
infersent top-5,21.01720381869335,16.41413825847371,38.417800778900045,5.945808812272182,4.406919198475004,11.178036301129492,21.825594889244016,17.506544380035724,35.17777611876715,0.03646175217944414
