,R1-f,R1-p,R1-r,R2-f,R2-p,R2-r,Rl-f,Rl-p,Rl-r,Loss
infersent top-3,20.598033520572923,13.833851829237597,43.96036350498249,5.84642076299043,3.9505347234649024,12.102896373079846,21.142085253179975,14.799017031316078,39.30770972289941,0.01896735045372727
infersent top-4,19.450671185779935,12.316549045576085,50.69412554706836,6.4025115661356935,4.071432402233185,16.163504445977466,21.14615786568209,14.032084484195096,45.75438246826353,0.01896735045372727
infersent top-5,18.21401493712681,11.14879134062531,54.70304420187563,6.113639815316804,3.7594806431888945,17.70884179991345,20.781430855952582,13.356882589157166,50.003231471056054,0.01896735045372727
